n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,paar,periood,bruto,kulu,piisav
56,46.42857142857143,0.2445441878230754,1.4476788486358034,0.5838790778016614,-5.572790386945048,1.2907641994401509,0.19678545538754522,13.694474518092223,EURJPY,2006-2010,0.29251569865527666,0.047971510832201206,True
35,37.142857142857146,-0.04400696962623359,0.9317827603281411,-0.08762655402711426,-7.368197833302393,-0.19409288858748108,0.8461031498323295,-1.5402439369181757,EURJPY,2011-2015,-0.010635592353175082,0.03337137727305852,True
39,30.76923076923077,-0.3567912320095633,0.49522961260393017,-0.9344008173704582,-12.29934677186002,-2.034754610477203,0.04187557024937694,-13.914858048372968,EURJPY,2016-2020,-0.31429502495273776,0.042496207056825476,True
53,56.60377358490566,0.40488729753588193,1.8905948562189778,0.9218226744765063,-3.3331100745589093,2.179616781601315,0.029285879798392145,21.459026769401742,EURJPY,2021-2026,0.4491115443818605,0.04422424684597876,True
76,47.368421052631575,0.2472201706348507,1.4625529210710067,0.5512182947959684,-5.7134574487204715,1.5462221589293357,0.12205092369717319,18.788732968248652,EURJPY,TRAIN_2006_2013,0.2895872814780833,0.0423671108432326,True
31,25.806451612903224,-0.4076003175757047,0.4595928863822167,-1.0019407784058443,-11.838795741236108,-1.9908088852257981,0.046501902166256937,-12.635609844846845,EURJPY,VALID_2014_2017,-0.3676224570931375,0.039977860482567296,True
76,48.68421052631579,0.1782273181421186,1.3317558748492517,0.39936360349603955,-7.759170515096603,1.1687099520552944,0.24252051092085858,13.545276178801013,EURJPY,OOS_2018_2026,0.222917132223278,0.044689814081159455,True
183,44.26229508196721,0.10764152624154544,1.1879074321351355,0.23905127188924297,-19.920955862957058,1.0857693422191226,0.27758105328203064,19.698399302202816,EURJPY,ALL_2006_2026,0.1505685206088317,0.042926994367286246,True
49,53.06122448979592,0.4966777760705452,2.06518054800767,1.0907104765364344,-6.071796261767847,2.402405044611202,0.016287662551274895,24.337211027456714,GBPJPY,2006-2010,0.550457190700422,0.053779414629876884,True
42,40.476190476190474,0.015716003953734233,1.0257338466733377,0.03498984868952531,-9.879397406121004,0.07566427677454692,0.9396861974923942,0.6600721660568378,GBPJPY,2011-2015,0.06120645637635296,0.04549045242261868,True
38,47.368421052631575,0.30237009650195906,1.5814891893582093,0.5963649501896704,-3.139717146725718,1.300893922455313,0.19329476670016166,11.490063667074445,GBPJPY,2016-2020,0.3395695867715159,0.03719949026955681,True
48,50.0,0.27599067606510735,1.5627639647667255,0.6177019141152574,-7.285958469813658,1.4298130205688382,0.15277069104672591,13.247552451125152,GBPJPY,2021-2026,0.32137442620878887,0.04538375014368157,True
72,51.388888888888886,0.4140666454737793,1.8557081324495683,0.8860382981569719,-6.286517221251864,2.462838231413916,0.013784209224460442,29.81279847411211,GBPJPY,TRAIN_2006_2013,0.4627451216194094,0.04867847614563017,True
34,38.23529411764706,-0.010020341580806995,0.9844607017042634,-0.021679128190470916,-6.778399623466336,-0.04239795447073106,0.966181458980631,-0.34069161374743784,GBPJPY,VALID_2014_2017,0.03588426907754244,0.04590461065834944,True
71,49.29577464788733,0.28539144297673913,1.5783853993086001,0.604233533868974,-7.943957196534113,1.773046137363042,0.07622106206598245,20.262792451348478,GBPJPY,OOS_2018_2026,0.3286616389046909,0.04327019592795174,True
177,48.0225988700565,0.2809881317045941,1.5417874457145448,0.592877580449114,-11.23508504707723,2.6892700056417222,0.007160847311421303,49.73489931171315,GBPJPY,ALL_2006_2026,0.3269643517935987,0.04597622008900466,True
46,45.65217391304348,0.3110776647204931,1.5483000550590194,0.6656783845216033,-5.473546797617413,1.409698674733449,0.1586286762325151,14.309572577142681,AUDJPY,2006-2010,0.35862122977813216,0.04754356505763929,True
39,43.58974358974359,0.11499572510120352,1.1983890815065477,0.2323783772734964,-6.079276129774525,0.5155792685495065,0.6061482928610602,4.484833278946938,AUDJPY,2011-2015,0.1524787341538748,0.037483009052671275,True
38,34.21052631578947,-0.09043402420030362,0.8624137166917094,-0.19392435701840594,-10.364625897240675,-0.4186171587618441,0.6754959473629956,-3.436492919611538,AUDJPY,2016-2020,-0.051700566524775865,0.03873345767552768,True
52,44.230769230769226,0.13974096123745255,1.270578346250114,0.33610255367848757,-6.086188650204494,0.780962454406145,0.43482457750408354,7.266529984347533,AUDJPY,2021-2026,0.17884588946640695,0.039104928228954464,True
67,44.776119402985074,0.2415160066051211,1.4223998245852991,0.4935584485643898,-8.480879375360084,1.3528060337596222,0.17611760466090365,16.181572442543114,AUDJPY,TRAIN_2006_2013,0.2850838739769767,0.043567867371855536,True
34,41.17647058823529,0.003549281218130885,1.0058175870646169,0.007831165979820146,-4.099432537713921,0.015522342684845215,0.9876154597545672,0.12067556141645008,AUDJPY,VALID_2014_2017,0.041283549208964605,0.03773426799083375,True
74,40.54054054054054,0.08543506644413568,1.1523972207516329,0.1905802689937667,-9.865556343667715,0.556559818587666,0.5778282135667712,6.32219491686604,AUDJPY,OOS_2018_2026,0.125329076980333,0.03989401053619734,True
175,42.285714285714285,0.12928253097614636,1.2250362758149271,0.27701489428513676,-11.833734910058824,1.244854123341499,0.21318537700681217,22.62444292082561,AUDJPY,ALL_2006_2026,0.17016349672061074,0.04088096574446441,True
52,42.30769230769231,0.13463892271507413,1.2166162769994704,0.30231033932997636,-9.349616780355685,0.6683085213412779,0.5039366750408587,7.0012239811838555,EURCHF,2006-2010,0.2485726189296759,0.11393369621460173,True
43,39.53488372093023,-0.08056622508873064,0.8705678606301807,-0.18522539056087758,-5.357084017943081,-0.40993082555891097,0.6818566920971993,-3.4643476788154173,EURCHF,2011-2015,0.0811730660824651,0.16173929117119573,True
36,38.88888888888889,-0.06913570340252553,0.8855522858418255,-0.1497608752260185,-6.650312225660926,-0.3278100632003465,0.7430552780638817,-2.488885322490919,EURCHF,2016-2020,0.023714535186013058,0.09285023858853864,True
44,59.09090909090909,0.315252942497682,1.7526381639819093,0.7180444076217012,-4.090823990557735,1.6505734167504622,0.09882571069667478,13.871129469898008,EURCHF,2021-2026,0.3951741318194912,0.07992118932180915,True
77,40.25974025974026,0.07496758636608154,1.1206913934944427,0.16520087843491102,-9.349616780355685,0.4647734228592836,0.6420937221591327,5.772504150188279,EURCHF,TRAIN_2006_2013,0.209104001663758,0.13413641529767648,True
