n,wr,neto,pf,sharpe,maxdd,t,p,kokku_r,tase,paar,rezhiim
64,39.0625,-0.036922065205896096,0.9379011745156012,-0.053983961410679494,-8.649445528675637,-0.23231188975554645,0.8162957783415568,-2.36301217317735,PAAR,EURAUD,HIGH_VOLATILITY
76,40.78947368421053,0.06936052592292037,1.1158256423802304,0.10127622457299114,-6.839248374066631,0.4360203158352555,0.6628219896889385,5.271399970141948,PAAR,GBPAUD,HIGH_VOLATILITY
83,37.34939759036144,-0.00131411559875131,0.9977789128492563,-0.0021024044098786887,-6.258821038437656,-0.009262188913425394,0.9926099481300279,-0.10907159469635873,PAAR,AUDCAD,HIGH_VOLATILITY
1462,42.20246238030096,0.06364274034822512,1.110251161778971,0.4060116935602978,-23.488687108286598,1.8455703507241872,0.06495461486554621,93.04568638910513,KOIK PAARID,-,LOW_VOLATILITY
640,45.15625,0.13165271164038336,1.241643812147967,0.8572886332845929,-21.41474568188083,2.519999475894524,0.011735500904459073,84.25773544984536,KOIK PAARID OOS,-,LOW_VOLATILITY
94,38.297872340425535,-0.07630007622533563,0.86608845430162,-0.13842166336935482,-17.222104198689912,-0.6277082438728677,0.5301950838820955,-7.1722071651815495,PAAR,EURUSD,LOW_VOLATILITY
94,36.17021276595745,-0.09528017975908004,0.8492466996120619,-0.16250222022505764,-15.275005808856179,-0.7372019271004878,0.4609995617115392,-8.956336897353523,PAAR,GBPUSD,LOW_VOLATILITY
104,42.30769230769231,0.010606108663783574,1.0189429605397862,0.01922529962946837,-13.160434792372689,0.08648862323763797,0.931077999524468,1.1030353010334917,PAAR,USDJPY,LOW_VOLATILITY
95,48.421052631578945,0.2080713811133801,1.4245243057815673,0.34960064919904527,-5.555693464199029,1.5516455394080981,0.12074706036268124,19.76678120577111,PAAR,AUDUSD,LOW_VOLATILITY
101,38.613861386138616,-0.04535041266064558,0.9260670856355794,-0.08041375308550341,-12.575233034586264,-0.3564814591016615,0.7214800348104786,-4.580391678725204,PAAR,NZDUSD,LOW_VOLATILITY
106,44.339622641509436,0.058495174379456914,1.1092804404354022,0.10519605356204395,-10.444520108549016,0.4770065073291945,0.6333574878640218,6.200488484222433,PAAR,USDCAD,LOW_VOLATILITY
102,36.27450980392157,-0.12268161236470485,0.8113873244095515,-0.21577400562241622,-20.02374936403356,-0.9799140740622272,0.32712853511505413,-12.513524461199895,PAAR,USDCHF,LOW_VOLATILITY
112,40.17857142857143,0.017315237106819478,1.028915106761447,0.030316737964768786,-10.688834936631197,0.13750641297316743,0.8906305240767829,1.9393065559637817,PAAR,EURGBP,LOW_VOLATILITY
