rada,paar,strateegia,variant,n,oodatav,pf,sharpe,maxdd,neto_r,t
B_D1,EURJPY,MOMENTUM,SL 1.25xATR,82,0.1711314754508396,1.2957033530938011,0.37586211462696545,-8.737029006365471,14.032780986968847,1.1022177706053762
B_D1,EURJPY,MOMENTUM,SL 1.75xATR,72,0.10081307789178874,1.1974720063336897,0.2379168281530629,-9.892891905579248,7.258541608208789,0.6976924401562384
B_D1,EURJPY,MOMENTUM,MC maxDD 5% kvantiil,76,0.1782273181421186,,,-12.107337400987559,13.545276178801013,
B_D1,AUDCAD,MOMENTUM,baseline,72,0.16841017779223685,1.3255431926553216,0.36920696469923014,-7.149718856182807,12.125532801041054,1.0802859138877758
B_D1,AUDCAD,MOMENTUM,spread+25%,72,0.15529817905753945,1.2961943862378864,0.34051738389773467,-7.282890740835091,11.18146889214284,0.9963412623006945
B_D1,AUDCAD,MOMENTUM,spread+50%,72,0.14218618032284203,1.2676179532879195,0.311816662092636,-7.415890018473458,10.237404983244625,0.9123640125494129
B_D1,AUDCAD,MOMENTUM,slip 2x,72,0.16125817848240187,1.30943713565558,0.3535595115230631,-7.222379475593299,11.610588850732935,1.0345020450265745
B_D1,AUDCAD,MOMENTUM,spread+50% & slip 2x,72,0.13503418101300704,1.2523455276243254,0.2961571936891686,-7.488362398866699,9.722461032936508,0.8665449875778296
B_D1,AUDCAD,MOMENTUM,SL 1.25xATR,78,0.1721244767434361,1.3053665234300427,0.37311383840090634,-9.121888354033924,13.425709185988016,1.0950289566823606
B_D1,AUDCAD,MOMENTUM,SL 1.75xATR,66,0.20367104426664556,1.454581325299666,0.4616851616719172,-6.54937642083584,13.442288921598607,1.3426405473649958
B_D1,AUDCAD,MOMENTUM,MC maxDD 5% kvantiil,72,0.16841017779223685,,,-11.592279762091819,12.125532801041054,
B_D1,USDCHF,BREAKOUT_RETEST,baseline,57,0.16084810982177014,1.3284640053806205,0.3274480651239056,-5.4505845587402675,9.168342259840898,0.9573346223338967
B_D1,USDCHF,BREAKOUT_RETEST,spread+25%,57,0.15508964796322527,1.3149112453427287,0.3158113477923946,-5.49388247965309,8.840109933903841,0.9233132504636645
B_D1,USDCHF,BREAKOUT_RETEST,spread+50%,57,0.14933118610468046,1.301511123405042,0.30416795369588273,-5.537162918550898,8.511877607966786,0.8892723582511817
B_D1,USDCHF,BREAKOUT_RETEST,slip 2x,57,0.15553260656772877,1.3159483131772078,0.3167067173440045,-5.490552491093448,8.86535857436054,0.9259309732809161
B_D1,USDCHF,BREAKOUT_RETEST,spread+50% & slip 2x,57,0.14401568285063907,1.2892750391721053,0.29341430666069185,-5.577098581632334,8.208893922486427,0.8578327508152637
B_D1,USDCHF,BREAKOUT_RETEST,SL 1.25xATR,60,0.09753606770002406,1.1736210955956083,0.19343704532477587,-11.348212477565745,5.852164062001443,0.5655369521310378
B_D1,USDCHF,BREAKOUT_RETEST,SL 1.75xATR,53,0.1604894027096312,1.3501190822890048,0.33002418543506473,-5.507744101643819,8.505938343610453,0.9648662263586051
B_D1,USDCHF,BREAKOUT_RETEST,MC maxDD 5% kvantiil,57,0.16084810982177014,,,-9.963237283590217,9.168342259840898,
A_H1,AUDUSD,MEAN_REVERSION,baseline,47,0.12082903057109133,1.2879910366088976,0.8842540198987834,-4.07839814205121,5.678964436841293,0.8493699285174345
A_H1,AUDUSD,MEAN_REVERSION,spread+25%,47,0.08967568774913884,1.2080017253631705,0.6556307317586965,-4.2949293293867985,4.2147573242095255,0.6297658989794133
A_H1,AUDUSD,MEAN_REVERSION,spread+50%,47,0.058522344927186325,1.1321939072535059,0.42742587401809123,-4.5754994086888985,2.750550211577757,0.41056379263370946
A_H1,AUDUSD,MEAN_REVERSION,slip 2x,47,0.08967568774913887,1.2080017253631707,0.6556307317586968,-4.2949293293867985,4.214757324209526,0.6297658989794135
A_H1,AUDUSD,MEAN_REVERSION,spread+50% & slip 2x,47,0.027369002105233794,1.0602480487906618,0.1996771521319101,-4.932924057570176,1.2863430989459883,0.1917998274435424
A_H1,AUDUSD,MEAN_REVERSION,SL 1.25xATR,50,0.21345114240916074,1.5946498968044422,1.683369180114476,-3.682279695264179,10.672557120458038,1.616959751391289
A_H1,AUDUSD,MEAN_REVERSION,SL 1.75xATR,44,-0.08875316107744546,0.8362364032125033,-0.6054515839955598,-5.280373852576603,-3.9051390874076004,-0.5815663339341565
A_H1,AUDUSD,MEAN_REVERSION,MC maxDD 5% kvantiil,47,0.12082903057109133,,,-7.6253103893621645,5.678964436841293,
B_D1,AUDJPY,MOMENTUM,baseline,74,0.08543506644413568,1.1523972207516329,0.1905802689937667,-9.865556343667715,6.32219491686604,0.556559818587666
