rada,paar,strateegia,ulatus,algus,lopp,aastaid,n,wr,bruto_r,neto_r,oodatav,pf,sharpe,maxdd,avg_win,avg_loss,avg_r,kokku,aastane,teh_aastas,t,p
A_H1,AUDCAD,MOMENTUM,ALL_RANGING,2023-12-11,2026-09-03,2.73,155,25.161290322580644,-42.442409702148495,-68.42334838996086,-0.4414409573545862,0.4660850796407312,-2.777776213009072,-49.60085864288245,1.5315559228128128,-1.1047761153419013,-0.4414409573545862,-50.181999474330475,-22.549103471625752,56.841114457831324,-4.58703243973167,4.49590844509018e-06
A_H1,AUDCAD,TREND_PULLBACK,ALL,2023-11-27,2026-09-11,2.79,209,29.665071770334926,-44.99322862200282,-79.46936813228662,-0.3802362111592661,0.5162098221648295,-2.7146992743980625,-55.22588705401793,1.3676572983755872,-1.1174429974936941,-0.3802362111592661,-55.580568182711346,-25.260170961155325,74.98747544204322,-4.532110640299978,5.83972477663508e-06
A_H1,AUDCAD,TREND_PULLBACK,TRAIN,2023-11-27,2024-10-30,0.93,76,28.947368421052634,-19.189299492231726,-31.456115480751187,-0.4138962563256735,0.4746553249709715,-3.1936391239061948,-26.742636595361834,1.2918629188122444,-1.1088351795300102,-0.4138962563256735,-27.412973224652948,-29.263872595996887,82.12721893491124,-3.0721971209668317,0.0021248935239108757
A_H1,AUDCAD,TREND_PULLBACK,VALID,2024-11-13,2025-08-25,0.78,50,26.0,-20.216994385857365,-28.704183107104466,-0.5740836621420893,0.3324145128582346,-4.211358312423323,-26.981306203602372,1.099448595932919,-1.1620814825468222,-0.5740836621420893,-25.23341924327206,-31.201921535417654,64.30457746478872,-3.7135241408951303,0.0002043929576842629
A_H1,AUDCAD,TREND_PULLBACK,OOS,2025-09-08,2026-09-11,1.0,83,32.53012048192771,-5.586934743913732,-19.309069544430972,-0.23263939210157797,0.6854688445801268,-1.616949131160319,-21.361405505036736,1.5585532051218176,-1.096250108620001,-0.23263939210157797,-18.152301567368845,-18.0740868433633,82.60422343324251,-1.620818097183009,0.10505665611547954
A_H1,AUDCAD,TREND_PULLBACK,OOS_HIGH_VOLATILITY,2025-09-08,2026-09-11,1.0,41,36.58536585365854,3.80237323530724,-2.426524156599298,-0.05918351601461703,0.9101401829289143,-0.2760305423606476,-7.383191144351997,1.6384610398376749,-1.0385938366986316,-0.05918351601461703,-2.7620195477842446,-2.7490318700581162,40.804495912806544,-0.2766910163168392,0.7820173706081761
A_H1,AUDCAD,TREND_PULLBACK,ALL_HIGH_VOLATILITY,2023-12-01,2026-09-11,2.78,97,34.02061855670103,-6.584684615506006,-21.039392541110708,-0.21690095403206916,0.6866396447351366,-1.0194914837176046,-19.691109296005394,1.3970246866336768,-1.0490813625003446,-0.21690095403206916,-19.60304597051381,-7.558575485337382,34.94008875739645,-1.6986639399090306,0.08938252149711223
A_H1,AUDCAD,TREND_PULLBACK,OOS_LOW_VOLATILITY,2025-09-16,2026-08-26,0.94,42,28.57142857142857,-9.389307979220973,-16.88254538783167,-0.4019653663769445,0.5090366038143244,-2.173067417198975,-17.775025038543646,1.4586684117269966,-1.146218877618521,-0.4019653663769445,-15.827438978072506,-16.762995307750515,44.724489795918366,-2.1058389188330606,0.0352183469084566
A_H1,AUDCAD,TREND_PULLBACK,ALL_LOW_VOLATILITY,2024-01-09,2026-08-26,2.63,109,26.605504587155966,-35.40854400649682,-54.95137652186755,-0.5041410690079592,0.41319046547449595,-2.7740089130855305,-44.89203507750285,1.3342392358750017,-1.1705539295280327,-0.5041410690079592,-42.78247801413446,-19.155369168588653,41.51433785192909,-4.49492079507053,6.959584742727287e-06
A_H1,AUDCAD,TREND_PULLBACK,OOS_TRENDING,2025-09-08,2026-09-11,1.0,83,32.53012048192771,-5.586934743913732,-19.309069544430972,-0.23263939210157797,0.6854688445801268,-1.616949131160319,-21.361405505036736,1.5585532051218176,-1.096250108620001,-0.23263939210157797,-18.152301567368845,-18.0740868433633,82.60422343324251,-1.620818097183009,0.10505665611547954
