siht_viivitus_s,siht_hoid_s,n,keskm,mediaan,kokku,voidu_osa,sd,t,p,keskm_voit,keskm_kaotus,max_voit,max_kaotus
3,10,30,2.3333333333333632,0.3999999999992898,70.0000000000009,0.5666666666666667,7.657015414472789,1.6690828366752084,0.10586321126911313,6.641176470588183,-3.2999999999998626,16.100000000001113,-19.599999999999618
3,15,30,2.776666666666912,0.5999999999994898,83.30000000000736,0.6333333333333333,6.926146529429464,2.1957995857350476,0.036256204211649316,6.036842105263382,-3.4888888888885443,19.499999999998963,-13.900000000000023
3,30,30,3.2133333333334164,0.6000000000006,96.40000000000249,0.6333333333333333,8.42089901553759,2.0900561189518316,0.045491794701664055,6.731578947368288,-3.499999999999442,34.09999999999913,-10.600000000000609
3,60,30,3.773333333333473,0.9999999999998899,113.20000000000418,0.6666666666666666,9.672069041328731,2.136812480165028,0.041177113087756914,7.5550000000000335,-3.7899999999996496,28.900000000000592,-18.400000000000638
3,120,30,3.676666666666842,0.8999999999992347,110.30000000000527,0.7333333333333333,9.822061140996452,2.050275640573397,0.049473545847822056,6.572727272727386,-4.287499999999655,40.70000000000018,-16.700000000000603
5,5,30,0.8066666666666504,0.04999999999921734,24.199999999999513,0.5,3.9555228376968627,1.1169940052174852,0.2731661155835934,3.519999999999746,-2.042857142856905,8.299999999999974,-9.300000000000974
5,10,30,1.0633333333331112,0.6000000000000449,31.899999999993334,0.6333333333333333,3.6438406541234003,1.5983455592511795,0.12080631799002772,2.9947368421047815,-2.4999999999997513,8.799999999999919,-7.200000000000539
5,15,30,1.7733333333334447,0.7999999999996898,53.20000000000334,0.6666666666666666,4.480219616948339,2.167962179729359,0.03850881534722914,3.7899999999997385,-2.2599999999991427,14.099999999999113,-5.20000000000076
5,30,30,1.6366666666667826,0.5000000000010552,49.100000000003476,0.6,5.67781425485564,1.57884568288502,0.1252186112094963,3.9166666666665444,-1.7833333333328596,24.500000000000632,-8.699999999999264
5,60,30,2.706666666666776,0.9500000000001174,81.20000000000327,0.6,6.997089707000645,2.1187414354534484,0.042799531170792944,5.949999999999814,-2.354545454544852,27.099999999999902,-9.799999999999809
5,120,30,2.386666666666865,0.7999999999985796,71.60000000000596,0.7,7.7013090393478505,1.6974142498374563,0.10032677627831828,4.795238095238159,-3.233333333332819,30.90000000000037,-7.200000000000539
10,5,30,-0.47666666666650465,-0.2999999999997449,-14.299999999995139,0.36666666666666664,2.615693134661055,-0.9981334671273343,0.3264707568462628,1.7909090909092171,-1.9999999999997953,8.60000000000083,-5.699999999999594
10,10,30,0.19000000000016262,0.20000000000020002,5.700000000004879,0.5,3.324553379390235,0.31302636489824653,0.7565008151453159,2.2200000000002595,-1.9714285714285003,12.300000000000644,-7.699999999999374
10,15,30,0.763333333333489,0.5499999999997174,22.90000000000467,0.5333333333333333,4.776196967385896,0.8753719505650818,0.38856444597757167,3.5187499999999456,-2.385714285713889,14.700000000000824,-9.600000000000719
10,30,30,0.5366666666667926,-0.0999999999995449,16.100000000003778,0.43333333333333335,6.150496662498417,0.4779198418020177,0.6362901854274461,4.715384615384592,-3.0133333333330605,20.700000000000163,-8.399999999999519
10,60,30,0.8433333333334477,0.2999999999997449,25.300000000003433,0.5333333333333333,6.442139467563568,0.717017525759108,0.4790989443175243,3.893750000000112,-2.642857142857026,28.399999999999537,-10.000000000000009
10,120,30,0.7866666666668569,0.0999999999995449,23.600000000005707,0.5,6.795979203421313,0.6340147102773925,0.5310408477935094,4.866666666666945,-3.5285714285713183,21.200000000001218,-12.900000000000134
15,5,30,-0.09333333333331566,-0.2500000000005276,-2.7999999999994696,0.4,1.469443557206482,-0.3478920424203982,0.7304338645971558,1.2083333333332928,-1.0176470588234694,2.4000000000001798,-4.3999999999999595
15,10,30,0.5533333333333686,-0.1999999999996449,16.60000000000106,0.4,3.2634584292646758,0.9286870203966406,0.36071724987895193,3.3166666666665603,-1.449999999999854,8.900000000000574,-8.299999999998864
15,15,30,0.44000000000009365,-0.10000000000065512,13.20000000000281,0.43333333333333335,3.5816197453105723,0.6728741252274585,0.5063542836148621,3.0615384615385035,-1.5647058823528082,12.799999999999478,-6.199999999999539
15,30,30,-0.3300000000000287,-0.40000000000040004,-9.900000000000862,0.3333333333333333,4.162157099886719,-0.43426627020311165,0.6673091526581029,3.3800000000002313,-2.1850000000001595,13.300000000000534,-9.400000000000519
15,60,30,0.46666666666671003,0.04999999999977245,14.0000000000013,0.5,4.506113344253994,0.5672379734855905,0.5749175919580185,2.9866666666666193,-2.053333333333199,14.399999999998858,-12.900000000000134
15,120,30,0.5066666666669928,0.2999999999997449,15.200000000009783,0.5333333333333333,5.057390176988321,0.5487272145466969,0.5873928855513235,3.5375000000002155,-3.1846153846148963,16.300000000000203,-12.400000000000189
30,5,30,-1.3766666666663403,-0.6999999999995898,-41.299999999990206,0.16666666666666666,1.830711814329518,-4.118788012381715,0.00028950229886610913,0.600000000000378,-1.7719999999996838,2.500000000000835,-6.299999999999084
30,10,30,-0.8033333333329206,-0.5999999999994898,-24.099999999987617,0.36666666666666664,1.6464137271411987,-2.6724982949836766,0.012226455337124402,0.8000000000003318,-1.8277777777772926,2.20000000000109,-3.9999999999995595
30,15,30,-1.3433333333332071,-0.5999999999994898,-40.29999999999622,0.26666666666666666,2.7165753457605346,-2.7084614828130826,0.011220581347903139,0.9749999999998926,-2.1863636363634256,3.8999999999989043,-7.999999999999119
30,30,30,-0.28999999999971937,-0.24999999999997247,-8.699999999991581,0.3333333333333333,3.101762569005011,-0.5120944564344824,0.6124629815275592,2.4399999999996647,-1.6549999999994114,8.499999999997954,-6.999999999999229
30,60,30,-0.7966666666664486,-0.0999999999995449,-23.899999999993458,0.5,4.389131037502522,-0.9941655886262935,0.3283656103859781,2.393333333333543,-3.986666666666441,10.099999999999554,-7.999999999999119
30,120,30,-0.4133333333332923,-0.2500000000005276,-12.39999999999877,0.43333333333333335,4.478279636841015,-0.5055333940583117,0.6170052457723008,3.4384615384614565,-3.3588235294116298,8.699999999999264,-9.599999999999609
60,5,30,-0.45666666666651273,-0.4499999999996174,-13.699999999995383,0.2,0.6589873806200344,-3.7956210080775747,0.000694796547748748,0.4166666666671759,-0.809999999999922,0.5999999999994898,-1.900000000001345
60,10,30,-0.7399999999998695,-0.5999999999997563,-22.199999999996088,0.23333333333333334,1.4537940849307407,-2.78797868800698,0.009264619541782383,0.7714285714290258,-1.3142857142856794,1.5999999999993797,-4.100000000000215
60,15,30,-0.8566666666665724,-0.6500000000009276,-25.69999999999717,0.3,1.8643078281658927,-2.5168357419689396,0.017625105820778364,0.8333333333337349,-1.7473684210526728,2.900000000001235,-5.399999999999849
60,30,30,-1.0633333333332797,-0.30000000000085514,-31.899999999998393,0.4,2.9309858684270953,-1.98708447927914,0.05643186869548523,1.0083333333339255,-2.44444444444475,3.4999999999996145,-8.399999999999519
60,60,30,-0.9133333333333481,-0.40000000000151026,-27.400000000000443,0.36666666666666664,3.6930254239050493,-1.3545892913433724,0.1860087973397142,2.3545454545458693,-2.961111111111389,10.600000000000609,-8.399999999999519
60,120,30,-0.816666666666491,-0.700000000000145,-24.49999999999473,0.4,5.692831749958075,-0.7857368264907595,0.4383947775094764,3.9750000000002585,-4.01111111111099,12.199999999999989,-11.299999999998533
